Country,YR2017,YR2018,YR2019
"Egypt, Arab Rep.",10800.0,11350.0,11820.0
Ecuador,11350.0,11510.0,11500.0
Dominican Republic,15940.0,17350.0,18310.0
Dominica,11060.0,11830.0,12680.0
Djibouti,4660.0,5090.0,5610.0
Denmark,56570.0,59050.0,61630.0
Czech Republic,36630.0,38880.0,40700.0
Cyprus,36810.0,38930.0,39850.0
Curacao,26370.0,26520.0,26620.0
Cuba,,,
Croatia,26760.0,28540.0,30530.0
Cote d'Ivoire,4690.0,4960.0,5290.0
Costa Rica,19280.0,19890.0,20520.0
"Congo, Rep.",3640.0,3430.0,3130.0
"Congo, Dem. Rep.",1030.0,1080.0,1110.0
Comoros,3050.0,3140.0,3130.0
Colombia,13910.0,14480.0,15260.0
China,14220.0,15430.0,16610.0
Chile,23460.0,23620.0,25040.0
Channel Islands,,,
Chad,1570.0,1590.0,1620.0
Central African Republic,960.0,1030.0,1060.0
Cayman Islands,46720.0,51280.0,58100.0
Canada,47700.0,49390.0,50010.0
Cameroon,3600.0,3730.0,3820.0
Cambodia,3680.0,3970.0,4310.0
Cabo Verde,6410.0,6860.0,7310.0
Burundi,770.0,780.0,790.0
Burkina Faso,1970.0,2100.0,2150.0
Bulgaria,20990.0,22210.0,24010.0
Brunei Darussalam,64620.0,62220.0,66460.0
British Virgin Islands,,,
Brazil,14250.0,14600.0,14980.0
Botswana,16140.0,16670.0,16980.0
Bosnia and Herzegovina,13640.0,14830.0,15840.0
Bolivia,8170.0,8650.0,8910.0
Bhutan,10170.0,10580.0,11250.0
Bermuda,85190.0,86090.0,86450.0
Benin,3010.0,3200.0,3390.0
Belize,6710.0,6830.0,6940.0
Belgium,50900.0,53090.0,55450.0
Belarus,17670.0,18730.0,19500.0
Barbados,15080.0,15320.0,15740.0
Bangladesh,4340.0,4750.0,5180.0
Bahrain,45030.0,44900.0,44470.0
"Bahamas, The",34330.0,34980.0,36180.0
Azerbaijan,13590.0,13850.0,14470.0
Austria,53670.0,56500.0,58430.0
Australia,47090.0,48530.0,50370.0
Aruba,36750.0,,
Armenia,12540.0,13230.0,14420.0
Argentina,23000.0,22460.0,22090.0
Antigua and Barbuda,18780.0,20480.0,21340.0
Angola,6860.0,6550.0,6370.0
Andorra,,,
American Samoa,,,
Algeria,11560.0,11610.0,11720.0
Albania,12800.0,13540.0,14150.0
Afghanistan,2090.0,2100.0,2190.0
World,16146.2839337922,16912.994258071,17497.9600743508
Upper middle income,15977.212306243,17003.9325641196,17834.5159145495
Sub-Saharan Africa (IDA & IBRD countries),3748.83798213119,3828.72726443843,3913.94112939145
Sub-Saharan Africa (excluding high income),3746.87807440961,3826.60024615884,3911.84331372633
Sub-Saharan Africa,3748.83798213119,3828.72726443842,3913.94112939145
South Asia (IDA & IBRD),5727.57381905512,6169.48195822657,6462.29505193857
South Asia,5727.57381905512,6169.48195822657,6462.29505193857
Small states,19987.975637506,20393.0450775657,20820.11008311
Pre-demographic dividend,3432.37944428743,3488.89566550121,3588.39005739763
Post-demographic dividend,48026.1347896155,50061.0398847117,51643.9202267011
Pacific island small states,7070.46288144066,7422.46997345944,7455.83050447305
Other small states,22162.4629611288,22567.7714221341,22996.5725846235
OECD members,43581.9065241713,45272.8358696325,46567.123300888
Not classified,,,
North America,59828.4462673768,62596.2585568236,64467.4385365932
Middle income,10731.3134426885,11381.1578153659,11882.9234071932
Middle East & North Africa (IDA & IBRD countries),10396.7291933337,10514.337568989,10534.4299851556
Middle East & North Africa (excluding high income),10358.8031800232,10478.7249199072,10499.326598368
Middle East & North Africa,16212.6668388971,16465.9042255139,16584.6709306851
Lower middle income,6650.5595196334,7040.13637656801,7325.5872782859
Low income,1880.38702170491,1939.17397440959,2007.39341409349
Low & middle income,9860.23825761739,10439.6476391717,10883.9734911359
Least developed countries: UN classification,2813.33942812514,2952.01077770071,3095.17994387991
Latin America & the Caribbean (IDA & IBRD countries),15432.2062291977,15799.1792972952,16137.1929327591
Latin America & Caribbean (excluding high income),15028.2473681768,15381.8000102731,15665.7135384053
Latin America & Caribbean,15448.1876118228,15816.3596928141,16160.0522473071
Late-demographic dividend,15688.9813352075,16825.9351397076,17816.1258382643
IDA total,3484.89314895451,3648.60716398282,3785.35986996699
IDA only,2855.03026504027,3016.50577531589,3177.11998042004
IDA blend,4749.66631973741,4920.88288348539,5015.58930802113
IDA & IBRD total,10108.477706371,10698.3141487919,11159.2134764047
IBRD only,12339.7667910971,13106.09526741,13714.2287928022
High income,49189.552217828,51193.9460650351,52795.3307686816
Heavily indebted poor countries (HIPC),2461.07726698215,2551.8942807712,2641.95443453412
Fragile and conflict affected situations,4238.67286980064,4342.3642528848,4474.96801398604
European Union,42671.8976080714,44749.1007217759,46729.938946869
Europe & Central Asia (IDA & IBRD countries),21381.7603918702,22755.4659196968,23296.5803310724
Europe & Central Asia (excluding high income),20647.6514630987,21978.9562323338,22362.0680555677
Europe & Central Asia,33828.0892346077,35523.4256563219,36703.7497825318
Euro area,45834.4995165259,47936.1363901495,49786.7714630563
East Asia & Pacific (IDA & IBRD countries),12964.4519542547,14001.5472434362,14998.1922517157
East Asia & Pacific (excluding high income),12821.6643669355,13847.6755495065,14833.598547212
East Asia & Pacific,16241.2640186335,17281.6560568156,18248.428065484
Early-demographic dividend,8868.9955948301,9291.282404528,9553.51213959355
Central Europe and the Baltics,28890.202825969,30833.9640718104,33085.5235483476
Caribbean small states,15299.638622832,15631.4984761777,16098.8926661869
Arab World,14178.514833388,14516.4860036744,14772.5332637866
Africa Western and Central,3972.51385426285,4048.23081838823,4177.24164236907
Africa Eastern and Southern,3598.57680049075,3681.29894418462,3736.59941550337
