Country,YR2017,YR2018,YR2019
"Congo, Rep.",51.26589584,47.5177536,
"Congo, Dem. Rep.",19.41761589,18.51088905,
Comoros,61.72988892,65.22776031,
Colombia,489.64459229,513.15869141,
China,437.25674438,501.05938721,
Chile,1360.17358398,1455.60791016,
Channel Islands,,,
Chad,29.49969864,29.23851013,
Central African Republic,29.9801693,53.66416168,
Cayman Islands,,,
Canada,4845.58984375,4994.90234375,
Cameroon,49.64924622,54.13952637,
Cambodia,82.05518341,90.55628204,
Cabo Verde,176.48937988,194.85687256,
Burundi,23.58145905,24.02547073,
Burkina Faso,44.40372086,40.24945068,
Bulgaria,618.70593262,689.90539551,
Brunei Darussalam,648.66882324,763.15289307,
British Virgin Islands,,,
Brazil,935.29919434,848.38885498,
Botswana,484.22390747,482.96307373,
Bosnia and Herzegovina,481.83258057,539.54663086,
Bolivia,217.49468994,223.59788513,
Bhutan,104.85510254,102.73851776,
Bermuda,,,
Benin,30.05702591,30.9390583,
Belize,282.58279419,285.98583984,
Belgium,4618.20898438,4912.70068359,
Belarus,333.54107666,356.25073242,
Barbados,1151.69372559,1164.54455566,
Bangladesh,37.43084717,41.90905762,
Bahrain,1126.06689453,994.17901611,
"Bahamas, The",2174.17675781,2013.37927246,
Azerbaijan,155.0982666,165.7674408,
Austria,4937.97705078,5326.43701172,
Australia,5308.78320313,5425.34033203,
Aruba,,,
Armenia,405.6506958,422.28268433,
Argentina,1529.61621094,1127.90722656,
Antigua and Barbuda,795.55981445,875.17254639,
Angola,114.33460236,87.61676788,
Andorra,2567.42382813,2821.80126953,
American Samoa,,,
Algeria,258.03955078,255.86943054,
Albania,226.28067017,274.91409302,
Afghanistan,65.70602417,49.84260941,
World,1064.09355171305,1110.26788318952,
Upper middle income,504.615037802945,532.032141629768,
Sub-Saharan Africa (IDA & IBRD countries),84.1929153850523,83.2490352335023,
Sub-Saharan Africa (excluding high income),84.1287106224034,83.1807940240755,
Sub-Saharan Africa,84.1929153850523,83.2490352335023,
South Asia (IDA & IBRD),64.2932081302812,67.1556693148879,
South Asia,64.2932081302812,67.1556693148879,
Small states,613.385775771237,641.478070625814,
Pre-demographic dividend,66.4149959591426,63.3194926594604,
Post-demographic dividend,5545.11640799966,5832.84550676383,
Pacific island small states,198.44219118435,206.810302576397,
Other small states,648.18005918869,681.014552950955,
OECD members,4659.97474545913,4885.4874477179,
Not classified,,,
North America,9667.61228418669,10050.5162864711,
Middle income,272.777564957846,286.486822479714,
Middle East & North Africa (IDA & IBRD countries),264.582693779636,273.554550905178,
Middle East & North Africa (excluding high income),264.582693779636,273.554550905178,
Middle East & North Africa,501.541246419554,520.889927728822,
Lower middle income,93.1997205844847,97.6742856132818,
Low income,45.5809294467674,34.6029465572944,
Low & middle income,253.327276220442,264.581600697954,
Least developed countries: UN classification,48.3333867536498,42.8219090030594,
Latin America & the Caribbean (IDA & IBRD countries),721.136364364231,660.055201853645,
Latin America & Caribbean (excluding high income),709.624802658607,654.160533730017,
Latin America & Caribbean,727.230486980522,666.92291780532,
Late-demographic dividend,505.592168660472,548.328998996189,
IDA total,54.8234985708258,54.1156904803739,
IDA only,50.3668880346578,46.4324336434148,
IDA blend,63.1170222116731,68.4178389342737,
IDA & IBRD total,261.893085869803,272.458141295744,
IBRD only,329.009274253526,344.223097025178,
High income,5391.69711123649,5665.2234231969,
Heavily indebted poor countries (HIPC),53.2760292670121,46.527443872485,
Fragile and conflict affected situations,89.6631947130503,76.5832269620691,
European Union,3273.17470440106,3525.05704192744,
Europe & Central Asia (IDA & IBRD countries),456.288125455493,475.843484311831,
Europe & Central Asia (excluding high income),410.087771478112,424.533232091275,
Europe & Central Asia,2194.53467236706,2347.03054140129,
Euro area,3779.21802215232,4063.49811438149,
East Asia & Pacific (IDA & IBRD countries),342.263551669243,387.764402963835,
East Asia & Pacific (excluding high income),342.245109910756,387.749836296089,
East Asia & Pacific,664.373891962698,720.908942951817,
Early-demographic dividend,180.90083943165,176.232625745518,
Central Europe and the Baltics,932.979386769764,1054.64934763265,
Caribbean small states,610.201965121201,621.243425067993,
Arab World,391.382333336795,392.567477494576,
Africa Western and Central,61.306286786352,67.3838178790827,
Africa Eastern and Southern,100.045491564991,94.2428382114765,
